"block","genotype","id","location","sd","hd","heading","heading_jd","maturity","gfp","yield","tstwt","tkw","hght","soil","asparagine","glutamine","glycine","Lysine","proline","protein","moisture","mean_DL","mean_PP","mean_Rad","mean_SWE","mean_Tmax","mean_Tmin","mean_VPD","mean_Tmean","mean_ET0_HS","mean_DT","mean_TT","total_GDD","total_PP","total_Tmean","HTC"
1,"g1","OAC Constellation","ea",2022-09-24,2023-07-31,"6/4/2023",155,195,40,9.95,74.59,32.6,85,"loam",504.1817,45.3986,20.8924,52.2975,26.7901,10.00817,11.29,15.1727802168022,3.49780487804878,19.9710175698366,0,23.9060975609756,12.5453658536585,1.46824658536585,18.2257317073171,4.89987596366484,11.3607317073171,13.2257317073171,542.255,143.41,747.255,1.91915744959887
2,"g1","OAC Constellation","ea",2022-09-24,2023-07-31,"6/4/2023",155,195,40,9.72,73.09,32.6,86,"loam",485.629,45.4735,19.2329,51.03,25.829,9.774967,11.04,15.1727802168022,3.49780487804878,19.9710175698366,0,23.9060975609756,12.5453658536585,1.46824658536585,18.2257317073171,4.89987596366484,11.3607317073171,13.2257317073171,542.255,143.41,747.255,1.91915744959887
3,"g1","OAC Constellation","ea",2022-09-24,2023-07-31,"6/5/2023",156,195,39,9.06,74.34,32.6,86,"loam",465.5753,41.6947,20.9602,51.9795,24.8163,9.172533,11.44,15.1748971527778,3.58525,19.8671823119875,0,23.9415,12.6575,1.4780285,18.2995,4.89510868859294,11.284,13.2995,531.98,143.41,731.98,1.9592065356977
4,"g1","OAC Constellation","ea",2022-09-24,2023-07-31,"6/5/2023",156,195,39,10.09,73.81,32.6,84,"loam",486.5103,49.2444,20.8273,50.9392,26.6037,9.7944,11.06,15.1748971527778,3.58525,19.8671823119875,0,23.9415,12.6575,1.4780285,18.2995,4.89510868859294,11.284,13.2995,531.98,143.41,731.98,1.9592065356977
1,"g2","OAC Virgo","ea",2022-09-24,2023-07-31,"6/4/2023",155,198,43,9.66,73.78,33.8,92,"loam",516.2073648,59.06119101,27.91774251,39.94081062,29.34331438,8.958767,11.23,15.155335290404,3.45068181818182,19.8545810649432,0,23.9638636363636,12.7325,1.48703818181818,18.3481818181818,4.87857676255993,11.2313636363636,13.3481818181818,587.32,151.83,807.32,1.88066689788436
2,"g2","OAC Virgo","ea",2022-09-24,2023-07-31,"6/5/2023",156,198,42,10.19,74.65,33.8,94,"loam",554.3918363,51.60959701,33.66255044,31.26110563,28.09281589,8.9782,11.32,15.1568988372093,3.53093023255814,19.755282301714,0,23.9981395348837,12.8411627906977,1.49657465116279,18.4196511627907,4.87364675781619,11.156976744186,13.4196511627907,577.045,151.83,792.045,1.91693653769672
3,"g2","OAC Virgo","ea",2022-09-24,2023-07-31,"6/6/2023",157,198,41,9.58,73.53,33.8,94,"loam",540.6523869,53.45489103,34.87281226,38.16300904,28.80615782,8.647833,10.92,15.1580941137566,3.615,19.6599348846619,0,24.0038095238095,12.9192857142857,1.50383619047619,18.4615476190476,4.86419280025803,11.0845238095238,13.4615476190476,565.385,151.83,775.385,1.95812402870832
4,"g2","OAC Virgo","ea",2022-09-24,2023-07-31,"6/5/2023",156,198,42,9.72,73.94,33.8,90,"loam",634.7189191,65.90394744,33.2688633,46.86173979,32.46870418,9.464033,10.89,15.1568988372093,3.53093023255814,19.755282301714,0,23.9981395348837,12.8411627906977,1.49657465116279,18.4196511627907,4.87364675781619,11.156976744186,13.4196511627907,577.045,151.83,792.045,1.91693653769672
1,"g3","OAC Moon","ea",2022-09-24,2023-07-31,"6/4/2023",154,195,41,8.69,72.27,26.4,84,"loam",445.7068126,66.07279487,26.05763772,10,32.18299648,10.06647,11.66,15.170296957672,3.41452380952381,19.9207066983643,0,23.9192857142857,12.5907142857143,1.47244880952381,18.255,4.89670239679481,11.3285714285714,13.255,556.71,143.41,766.71,1.87045949576763
2,"g3","OAC Moon","ea",2022-09-24,2023-07-31,"6/4/2023",154,195,41,8.5,71.47,26.4,81,"loam",399.4029053,54.69997276,27.68545433,10,31.23575722,9.133667,11.4,15.170296957672,3.41452380952381,19.9207066983643,0,23.9192857142857,12.5907142857143,1.47244880952381,18.255,4.89670239679481,11.3285714285714,13.255,556.71,143.41,766.71,1.87045949576763
3,"g3","OAC Moon","ea",2022-09-24,2023-07-31,"6/4/2023",154,198,44,9.49,71.81,26.4,84,"loam",450.5566851,71.37281987,30.88304291,10,34.82764875,10.29967,11.49,15.1534052469136,3.374,19.8102117294556,0,23.9748888888889,12.7706666666667,1.49054266666667,18.3727777777778,4.87608808239468,11.2042222222222,13.3727777777778,601.775,151.83,826.775,1.83641256690151
4,"g3","OAC Moon","ea",2022-09-24,2023-07-31,"6/4/2023",156,198,42,9.26,70.85,26.4,86,"loam",451.8715131,79.78803798,29.92116343,10,35.82117828,10.6689,11.62,15.1568988372093,3.53093023255814,19.755282301714,0,23.9981395348837,12.8411627906977,1.49657465116279,18.4196511627907,4.87364675781619,11.156976744186,13.4196511627907,577.045,151.83,792.045,1.91693653769672
1,"g1","OAC Constellation","pn",2022-10-02,2023-07-31,"6/4/2023",156,190,34,6.65,74.53,38.29,77.29,"harriston_silt_loam",760.2412,73.5996,29.1569,58.8974,43.156,11.79603,11.13,15.2252032539683,3.47628571428571,19.4752126443686,0,23.4065714285714,12.1788571428571,1.44338085714286,17.7927142857143,4.81843104183372,11.2277142857143,12.7927142857143,447.745,121.67,622.745,1.95376919927097
2,"g1","OAC Constellation","pn",2022-10-02,2023-07-31,"6/4/2023",156,190,34,6.79,74.91,39.95,82.25,"harriston_silt_loam",771.3122,57.8272,24.6259,48.4459,38.9056,11.58227,11.4,15.2252032539683,3.47628571428571,19.4752126443686,0,23.4065714285714,12.1788571428571,1.44338085714286,17.7927142857143,4.81843104183372,11.2277142857143,12.7927142857143,447.745,121.67,622.745,1.95376919927097
3,"g1","OAC Constellation","pn",2022-10-02,2023-07-31,"6/4/2023",156,190,34,7.61,76.68,43.04,82.14,"harriston_silt_loam",690.6163,56.0644,21.9035,52.566,38.4625,11.1353,11.23,15.2252032539683,3.47628571428571,19.4752126443686,0,23.4065714285714,12.1788571428571,1.44338085714286,17.7927142857143,4.81843104183372,11.2277142857143,12.7927142857143,447.745,121.67,622.745,1.95376919927097
4,"g1","OAC Constellation","pn",2022-10-02,2023-07-31,"6/4/2023",156,190,34,7.48,77.22,41.9,84.25,"harriston_silt_loam",669.0843,54.0342,24.378,44.6741,39.1026,12.39847,11.75,15.2252032539683,3.47628571428571,19.4752126443686,0,23.4065714285714,12.1788571428571,1.44338085714286,17.7927142857143,4.81843104183372,11.2277142857143,12.7927142857143,447.745,121.67,622.745,1.95376919927097
1,"g2","OAC Virgo","pn",2022-10-02,2023-07-31,"6/4/2023",155,191,36,6.77,76.4,43.8,76,"harriston_silt_loam",1014.109076,116.9704428,42.94968071,35.56548956,53.15679167,12.1847,11.08,15.218403003003,3.28837837837838,19.8354292901459,0,23.4797297297297,12.0345945945946,1.4278327027027,17.7571621621622,4.85553302545756,11.4451351351351,12.7571621621622,472.015,121.67,657.015,1.85186030760333
